PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),TotalGHGEmissions,pct_electricity,pct_steam
Hospitality,47.6122,-122.33799,1927,12,88434,7456910.0,249.98,0.5291772329289209,0.2687281997502987
Hospitality,47.61317,-122.33393,1996,11,88502,8664479.0,295.86,0.3742695896660376,0.0
Hospitality,47.61412,-122.33664,1926,10,61320,6946800.5,286.43,0.398589825632678,0.31877210954884916
Other,47.61623,-122.33657,1999,2,60090,12581712.0,301.81,0.585884814403636,0.0
Hospitality,47.6139,-122.33283,1926,11,83008,6062767.5,176.14,0.4636851075024731,0.0
Other,47.61327,-122.33136,1926,8,102761,7067881.5,221.51,0.5145325370834245,0.3220606485833131
Hospitality,47.60294,-122.33263,1904,15,163984,14194054.0,392.16,0.5141532503680767,0.0
Hospitality,47.60699,-122.33346,1928,9,65009,6358719.5,328.23,0.211206045493908,0.2604852281972809
Other,47.60515,-122.33159,1907,5,57452,7877219.0,273.02,0.47793402722458267,0.2254859075265014
Hospitality,47.65959,-122.31755,2001,6,58006,3673186.75,90.01,0.616965908417262,0.0
Education,47.61816,-122.33629,1928,7,126593,12183313.0,388.04,0.3814622508672313,0.0
Other,47.615,-122.33081,1930,2,67224,1310236.625,9.13,0.9999995229869261,0.0
Hospitality,47.61301,-122.32929,1991,8,128375,5424942.0,256.57,0.10549550575840258,0.0
Hospitality,47.61784,-122.32966,2001,10,133585,11171407.0,328.63,0.5022380797691821,0.0
Hospitality,47.61558,-122.34186,1978,5,52210,4557974.0,128.44,0.5147789346758012,0.0
Office,47.6641,-122.33118,1906,3,87262,4703690.0,157.77,0.2876131292665971,0.0
Hospitality,47.66583,-122.29965,1994,4,81871,6731281.5,215.0,0.44811660305693646,0.0
Other,47.66172,-122.29598,1955,2,110356,326223.0938,3.93,0.8621860479700963,0.0
Education,47.65671,-122.39047,1990,2,54986,1802471.375,31.47,0.6755108662960043,0.0
Office,47.66587,-122.38476,1961,2,94900,6536359.5,130.56,0.6565711387202616,0.0
Office,47.58034,-122.31132,1900,2,52554,3150635.5,83.86,0.5014064622835616,0.0
Education,47.68891,-122.33553,1954,3,175015,7886505.5,247.85,0.33978788197129894,0.0
Other,47.61351,-122.35129,1911,3,70586,2331573.25,45.43,0.6434406467821674,0.0
Office,47.6113,-122.33659,1973,5,168115,9536161.0,66.48,0.9999998951359986,0.0
Other,47.61076,-122.33765,1920,2,57428,1239429.75,33.26,0.5768289812310863,0.0
Office,47.61048,-122.33794,1910,8,59400,5242479.5,35.36,0.9674759815465183,0.0
Hospitality,47.61233,-122.33432,1930,20,88591,5078816.0,59.19,0.84469667733582,0.0
Hospitality,47.60997,-122.34138,1985,7,71150,5348309.0,134.38,0.606528156843593,0.0
Hospitality,47.61155,-122.34114,1908,7,122810,6088417.5,227.18,0.21246259803963838,0.0
Hospitality,47.61986,-122.34413,1959,5,70627,5428403.5,144.79,0.5424578331363908,0.0
Hospitality,47.62001,-122.34274,2000,7,115718,6835263.5,199.95,0.4968512186838152,0.0
Hospitality,47.62025,-122.34314,1997,6,88100,5941927.0,162.39,0.5366031928699225,0.0
Hospitality,47.62023,-122.35951,1998,6,118858,6849826.5,152.76,0.665555105665815,0.0
Education,47.63442,-122.30793,1911,3,56072,3800842.5,146.34,0.1451959664206028,0.0
Hospitality,47.62519,-122.34456,1999,4,78051,5387530.0,171.64,0.44987777330242246,0.0
Office,47.60823,-122.30956,1962,2,54984,3630147.25,87.98,0.5449448366040799,0.0
Hospitality,47.61988,-122.33211,2008,6,63371,3787499.0,67.06,0.7426240904618061,0.0
Office,47.61244,-122.3214,1965,3,179014,16527711.0,430.84,0.5981762386818115,0.0
Hospitality,47.60898,-122.32693,1908,7,76631,7250730.5,262.75,0.36696192197462035,0.0
Retail,47.62237,-122.33805,1929,2,58320,1243027.75,39.06,0.29106590741839833,0.0
Office,47.62424,-122.33646,2010,5,316306,13909270.0,138.85,0.9253606407812919,0.0
Other,47.62395,-122.35077,1962,2,52000,2682242.75,101.83,0.4821893916946928,0.4482741168747683
Other,47.62395,-122.35077,1928,1,60696,875943.3125,6.11,0.9999996432417537,0.0
Office,47.62391,-122.34837,1986,2,63888,4192107.75,29.04,0.9938449220442866,0.0
Office,47.62053,-122.35842,1970,4,50283,3647345.75,48.76,0.8073520312682174,0.0
Hospitality,47.62291,-122.35708,2002,6,59976,5274523.0,152.14,0.49995250755376364,0.0
Hospitality,47.65772,-122.31756,1962,4,50017,5528580.5,191.2,0.384964277900991,0.0
Education,47.62548,-122.30828,1923,3,67743,3036464.0,78.85,0.4405736409191744,0.0
Education,47.62644,-122.30429,1908,6,194104,7204080.0,243.23,0.2620588610898269,0.0
Office,47.58408,-122.30125,2003,3,63681,4980737.5,34.14,0.9833403185773191,0.0
Other,47.67524,-122.31534,1941,4,56521,6367210.0,44.32,0.9984955734144154,0.0
Other,47.67559,-122.31769,1929,2,206934,4384625.5,133.58,0.4563908593789823,0.0
Hospitality,47.73141,-122.3458,2001,4,51390,3616214.0,127.29,0.3866720830127863,0.0
Hospitality,47.72551,-122.3423,2002,3,69138,3323400.5,89.02,0.5424832186190018,0.0
Hospitality,47.6048,-122.3368,1904,5,190980,6505995.0,142.39,0.6767466006352603,0.0
Other,47.60112,-122.32785,2006,4,61156,9550716.0,176.75,0.7274082906454343,0.0
Other,47.59809,-122.32283,1910,4,59000,2095175.25,46.26,0.6260426186305895,0.0
Hospitality,47.62614,-122.3467,1996,4,148022,8016521.0,228.4,0.5236014475606064,0.0
Education,47.61495,-122.32177,1915,3,63330,3284214.5,74.33,0.5818937831253105,0.0
Office,47.67828,-122.26456,2002,2,96300,16274449.0,222.02,0.8586279019338842,0.0
Other,47.59545,-122.32146,1950,1,67356,8086930.5,204.08,0.5171308199075039,0.0
