PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,pct_electricity,pct_steam,has_parking
Hospitality,47.6122,-122.33799,1927,12,0,88434,7226362.5,249.98,0.546059929874816,0.277301616131214,False
Hospitality,47.61317,-122.33393,1996,11,15064,88502,8387933.0,295.86,0.38660907281925116,0.0,True
Hospitality,47.61412,-122.33664,1926,10,0,61320,6794584.0,286.43,0.40751928300540546,0.32591344076399675,False
Other,47.61623,-122.33657,1999,2,37198,60090,12086616.0,301.81,0.609884023783001,0.0,True
Hospitality,47.6139,-122.33283,1926,11,0,83008,5758795.0,176.14,0.4881602835315374,0.0,False
Other,47.61327,-122.33136,1926,8,0,102761,6298131.5,221.51,0.5774180802671396,0.36142251078752485,False
Hospitality,47.60294,-122.33263,1904,15,0,163984,13723820.0,392.16,0.5317702359838588,0.0,False
Hospitality,47.60699,-122.33346,1928,9,0,65009,6596057.5,328.23,0.2036064725027033,0.2511125016724005,False
Other,47.60515,-122.33159,1907,5,0,57452,7606084.5,273.02,0.4949709669935957,0.23352381570307298,False
Hospitality,47.65959,-122.31755,2001,6,30586,58006,3663534.5,90.01,0.6185914176596399,0.0,True
Education,47.61816,-122.33629,1928,7,0,126593,11343686.0,388.04,0.40969698914444563,0.0,False
Other,47.615,-122.33081,1930,2,0,67224,1310236.625,9.13,0.9999995229869261,0.0,False
Hospitality,47.61301,-122.32929,1991,8,30301,128375,5328051.5,256.57,0.10741393922337275,0.0,True
Hospitality,47.61784,-122.32966,2001,10,38281,133585,11061916.0,328.63,0.507209239339731,0.0,True
Hospitality,47.61558,-122.34186,1978,5,16200,52210,4456714.5,128.44,0.5264750524180986,0.0,True
Office,47.6641,-122.33118,1906,3,0,87262,4145920.5,157.77,0.3263070288009623,0.0,False
Hospitality,47.66583,-122.29965,1994,4,0,81871,6668568.5,215.0,0.45233081132779845,0.0,False
Other,47.66172,-122.29598,1955,2,0,110356,318364.8125,3.93,0.8834676099765265,0.0,False
Education,47.65671,-122.39047,1990,2,0,54986,1650279.25,31.47,0.7378078588820649,0.0,False
Office,47.66587,-122.38476,1961,2,0,94900,6186461.5,130.56,0.6937059254308784,0.0,False
Office,47.58034,-122.31132,1900,2,0,52554,2951331.25,83.86,0.5352665852062523,0.0,False
Education,47.68891,-122.33553,1954,3,0,175015,6994740.5,247.85,0.3831077078556381,0.0,False
